Date,Rolling variance
2022-07-28,1880423.4314063992
2022-07-29,2050325.2667900706
2022-07-30,2131935.821264423
2022-07-31,2063491.1576949612
2022-08-01,1949882.5575528345
2022-08-02,1778675.516945648
2022-08-03,1710489.339417333
2022-08-04,1611059.7166265533
2022-08-05,1579151.7892913367
2022-08-06,1592308.1241238827
2022-08-07,1617421.9282462168
2022-08-08,1684453.3565901748
2022-08-09,1632741.7817184182
2022-08-10,1500146.5544368806
2022-08-11,1198061.481634286
2022-08-12,1075037.2217774377
2022-08-13,976637.2577123987
2022-08-14,877756.5557224714
2022-08-15,789764.3354795679
2022-08-16,604348.3411426645
2022-08-17,583674.5033319506
2022-08-18,583351.919349967
2022-08-19,774574.6568346072
2022-08-20,911654.6990976797
2022-08-21,991655.4857020685
2022-08-22,1075307.4065705447
2022-08-23,1147256.3289099343
2022-08-24,1143492.9115781975
2022-08-25,1103581.3592582797
2022-08-26,1359396.5729293434
2022-08-27,1604196.4626880595
2022-08-28,1902397.9455472422
2022-08-29,2050704.8790335301
2022-08-30,2279133.8106343546
2022-08-31,2438324.430696923
2022-09-01,2582745.7354472685
2022-09-02,2738198.7633137847
2022-09-03,2905276.679788784
2022-09-04,2986678.3198669865
2022-09-05,3095490.566248043
2022-09-06,3321771.0094299586
2022-09-07,3342205.9636787763
2022-09-08,3402808.911563622
2022-09-09,3173623.8515182217
2022-09-10,2933331.1612949176
2022-09-11,2592050.0412902934
2022-09-12,2270781.2941289665
2022-09-13,1915564.8845947126
2022-09-14,1568051.49056411
2022-09-15,1270617.6722072156
2022-09-16,1043938.7152077087
2022-09-17,799452.9646899432
2022-09-18,829302.2519769465
2022-09-19,833658.7718841039
2022-09-20,853802.6068632914
2022-09-21,904582.8755897384
2022-09-22,857594.4611506768
2022-09-23,818840.4011021092
2022-09-24,769254.304905966
2022-09-25,809402.1886002249
2022-09-26,824100.2528898179
2022-09-27,841789.4709725648
2022-09-28,840888.2005635106
2022-09-29,843113.0938607752
2022-09-30,846279.7850343854
2022-10-01,850303.1270211623
2022-10-02,866597.6157888591
2022-10-03,866819.7339035752
2022-10-04,876868.1869371667
2022-10-05,882375.9364997325
2022-10-06,852684.5985927484
2022-10-07,845855.0863455011
2022-10-08,843240.2404320528
2022-10-09,758613.2400537187
2022-10-10,634982.0934827229
2022-10-11,486349.87627064926
2022-10-12,210379.67339764535
2022-10-13,185797.28232553808
2022-10-14,164218.73113531133
2022-10-15,164408.56927824955
2022-10-16,159170.9461032287
2022-10-17,139782.32691879116
2022-10-18,139569.80861767876
2022-10-19,139311.78019715767
2022-10-20,135307.75890528402
2022-10-21,114540.12509486172
2022-10-22,115075.70720129246
2022-10-23,116609.63154605331
2022-10-24,110417.55177815755
2022-10-25,115731.22911260652
2022-10-26,175483.04140524066
2022-10-27,192992.7851618576
2022-10-28,232468.64711959378
2022-10-29,286949.3427772685
2022-10-30,322765.6577356806
2022-10-31,344141.72595353046
2022-11-01,351980.11417840613
2022-11-02,358365.5327612732
2022-11-03,353572.8400761769
2022-11-04,415760.6629807413
2022-11-05,492702.75839464366
2022-11-06,532005.0416965812
2022-11-07,543730.6684558633
2022-11-08,598489.4736721256
2022-11-09,1113565.3154554458
2022-11-10,1255360.1209460949
2022-11-11,1484835.9162011477
2022-11-12,1750972.1084927295
2022-11-13,2087886.0579070742
